nfcore_name,library,bench_replicate,measurement_set,sample,fastq_pairs,mapped_reads,scale_factor,correct_derived_from,current_derived_from,correct
Hs27_REP1,RA479-3,3,IGVFDS8072MCFE,IGVFSM6360LQPR,1,43527858,0.0229738,IGVFFI6742USNR;IGVFFI9840VYSI,IGVFFI3064NVOS;IGVFFI0472VKYX;IGVFFI8319CHGD;IGVFFI9680ZMZH,NO - swapped
Hs27_REP2,RA479-2,2,IGVFDS7678SSQX,IGVFSM4428VMFG,3,79000690,0.0126581,IGVFFI6190LDFT;IGVFFI1974SEQI;IGVFFI9637TXTU;IGVFFI7729RHXB;IGVFFI5380DCXF;IGVFFI8562GGWH,IGVFFI6190LDFT;IGVFFI1974SEQI;IGVFFI9637TXTU;IGVFFI7729RHXB;IGVFFI5380DCXF;IGVFFI8562GGWH,yes
Hs27_REP3,RA479-1,1,IGVFDS4038GSGB,IGVFSM5684GQOB,2,74051896,0.013504,IGVFFI3064NVOS;IGVFFI0472VKYX;IGVFFI8319CHGD;IGVFFI9680ZMZH,IGVFFI6742USNR;IGVFFI9840VYSI,NO - swapped
